"","nroModel","ntree","mtry","oob"
"1",1,500,1,0.0205
"2",2,1000,1,0.022
"3",3,1500,1,0.022
"4",4,500,2,0.0173
"5",5,1000,2,0.0157
"6",6,1500,2,0.0157
"7",7,500,3,0.0157
"8",8,1000,3,0.0157
"9",9,1500,3,0.0157
"10",10,500,4,0.0157
"11",11,1000,4,0.0157
"12",12,1500,4,0.0157
"13",13,500,5,0.0157
"14",14,1000,5,0.0157
"15",15,1500,5,0.0157
"16",16,500,6,0.0189
"17",17,1000,6,0.0173
"18",18,1500,6,0.0173
"19",19,500,7,0.0189
"20",20,1000,7,0.0157
"21",21,1500,7,0.0189
"22",22,500,8,0.0205
"23",23,1000,8,0.0189
"24",24,1500,8,0.0189
"25",25,500,9,0.0173
"26",26,1000,9,0.0189
"27",27,1500,9,0.0189
