"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","nro_model"
"1",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,1
"2",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,2
"3",0.9802,0.9605,0.9545,0.9936,0.5059,0,0.0736,0.96,1,1,0.9624,1,0.96,0.9796,0.4941,0.4743,0.4743,0.98,3
"4",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,4
"5",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,5
"6",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,6
"7",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,7
"8",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,8
"9",0.9763,0.9525,0.9491,0.9912,0.5059,0,0.0412,0.952,1,1,0.9552,1,0.952,0.9754,0.4941,0.4704,0.4704,0.976,9
"10",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,10
"11",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,11
"12",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,12
"13",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,13
"14",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,14
"15",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,15
"16",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,16
"17",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,17
"18",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,18
"19",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,19
"20",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,20
"21",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,21
"22",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,22
"23",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,23
"24",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,24
"25",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,25
"26",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,26
"27",0.9723,0.9446,0.9438,0.9888,0.5059,0,0.1306,0.952,0.9922,0.9917,0.9549,0.9917,0.952,0.9714,0.4941,0.4704,0.4743,0.9721,27
